time,username,text
5/10/12 20:01,FredEnde,"Welcome to the first session of #NGSSchat!  With the release of the #NGSS tomorrow, we'll use tonight to focus on some prep."
5/10/12 20:01,FredEnde,Our focus will be the 3 pillars of the K12 Framework and their implications.  Please remember to use #NGSSchat in your tweets.
5/10/12 20:02,FredEnde,"Having knowledge of the key dimensions of the Framework will be very helpful tonight, as weâ€™ll be referencing quite a bit.  #NGSSchat"
5/10/12 20:02,FredEnde,It will be good to have the Framework open in front of you a shortened version can be found here (via @NSTA): http://learningcenter.nsta.org/files/PB326X.pdfÂ â€_ #NGSSchat
5/10/12 20:03,FredEnde,"Weâ€™ll be using a Q/A format. Before we start, please introduce yourself/what you do/where youâ€™re from. #NGSSchat"
5/10/12 20:05,ampercival,"Adam Percival, from Austin Texas. I develop K-12 educational science software. #NGSSchat"
5/10/12 20:05,FredEnde,"Fred Ende, Metro NYC, Regional Science Coordinator. #NGSSchat"
5/10/12 20:06,FredEnde,"Small group, huh?  Well, welcome, Adam. :) #ngsschat"
5/10/12 20:07,JenArnswald,"Jen Arnswald, education consultant Kent ISD- Grand Rapids, Michigan #ngsschat"
5/10/12 20:07,FredEnde,We'll start with the Scientific Practices. . .#ngsschat
5/10/12 20:08,FredEnde,Hey Jen.  Welcome. :) #ngsschat
5/10/12 20:08,JenArnswald,Make that 3 #ngsschat
5/10/12 20:08,FredEnde,"Q1.  Science Practices are meant to help educators move away from 1 ""scientific method."" How do you see this changing instruction? #NGSSchat"
5/10/12 20:09,ampercival,"@FredEnde @JenArnswald Familiar folks! Good to ""see"" you both :). #NGSSchat"
5/10/12 20:10,charleswgardner,Chuck - Asst Principal from Atlanta lurking :) #NGSSchat
5/10/12 20:10,ampercival,"Q1: I'm pretty excited... ""inquiry"" alone is just a small part of what real science is about. #NGSSchat"
5/10/12 20:11,ampercival,I especially like practices 5-8 for this reason... really sounds out science ed. in my opinion. #NGSSchat
5/10/12 20:11,FredEnde,Hi Chuck.  Welcome.  Feel free to lurk as much as you like :) #ngsschat
5/10/12 20:11,ampercival,@charleswgardner Welcome Chuck! #NGSSchat
5/10/12 20:12,ampercival,"Specifically, I think there is a shift toward taking the results of inquiry and ""doing"" something with them. #NGSSchat"
5/10/12 20:12,FredEnde,"It's great that Framework looks to shift away from ""inquiry"" being a vague idea to being a set of ""doable"" practices. #ngsschat"
5/10/12 20:13,ampercival,"Constructing explanations, communicating results, etc. #NGSSchat"
5/10/12 20:13,FredEnde,"@ampercival. . .Agreed.  Will allow for a true move from ""process skills"" to ""mult. use practices"" #ngsschat"
5/10/12 20:14,ampercival,"My pet peeve is also that ""inquiry"" can turn into activity-based instruction without rigorous thinking behind it. #NGSSchat"
5/10/12 20:14,FredEnde,"""Inquiry"" has become an #educational buzzword.  Too vague, too many different def.  Clearly defined practices should help! #ngsschat"
5/10/12 20:15,FredEnde,"Q2.  Of the 8 practices we anticipate seeing, which do you think have the great implication for your work? Why?  #ngsschat"
5/10/12 20:16,ampercival,"@fredende Agree... I hope the keywords in the framework don't head in that direction :) ""Buzzwordification"" is all too common. #NGSSchat"
5/10/12 20:18,FredEnde,"I'm very excited for engaging in #argument.  We need to move away from the ""answer and move on"" process.   #ngsschat"
5/10/12 20:18,ampercival,Q2: For me I'd say it's #1 and #6... because engineering hasn't been a nationwide focus for K-12 until now. #NGSSchat
5/10/12 20:18,arosey,"Big shift: observations aren't the key, synthesizing from them becomes the focus and the key to the process. #ngsschat"
5/10/12 20:19,FredEnde,"RT @arosey: Big shift: observations arent the key, synthesizing from them becomes the focus and the key to the process. #ngsschat"
5/10/12 20:19,ampercival,"@fredende Yeah, that's a key one for moving away from pure inquiry. #NGSSchat"
5/10/12 20:19,FredEnde,Howdy @arosey.  Thanks for joining! #ngsschat
5/10/12 20:19,JenArnswald,I agree w/ @FredEnde too often we have kids complete tasks but they never process the meaning of what they are doing #ngsschat
5/10/12 20:20,FredEnde,@arosey. . .Think it will be a big change for many to get away from facts for facts sake. #ngsschat
5/10/12 20:21,FredEnde,"@JenArnswald Will also require folks to ""slow down"" when exploring ideas.  Solid argument requires lots of thought time. #ngsschat"
5/10/12 20:22,FredEnde,I think #modeling is a big of a shift too.  I know we never really worked with models as much as we should have.  Others model? #ngsschat
5/10/12 20:22,ampercival,RT @arosey: Integrating engineering practices into K-12. Feel like biggest challenge (for me) will be elementary ed. #NGSSchat
5/10/12 20:22,FredEnde,@FredEnde @bydlowski #7 right now. We r doing a workshop Monday with our ela folks on argumentation and writing #ngsschat
5/10/12 20:23,FredEnde,@ampercival @arosey. . .What does #elemsci look like for you currently? #ngsschat
5/10/12 20:23,ampercival,"@fredende I will definitely focus more on #modeling now... I've seen some argue that #2 should be the ""main"" practice. #NGSSchat"
5/10/12 20:23,FredEnde,@bydlowski. . .Thanks for coming by. :)  #ngsschat
5/10/12 20:24,FredEnde,"@ampercival Certainly the biggest shift. . .for me, anyway. #ngsschat"
5/10/12 20:25,FredEnde,Let's shift over to the cross - cutting concepts. . . . #ngsschat
5/10/12 20:25,ampercival,@fredende I've actually worked very little on #elemsci so far... unfortunately for K-5 most districts put sci on back burner #NGSSchat
5/10/12 20:26,FredEnde,Q3. Cross-Cutting Concepts are meant to help eds bridge divide between sci. and other disciplines. How do you see them being used? #ngsschat
5/10/12 20:27,FredEnde,@ampercival Agreed.  Districts will really need to focus in on K-5/6 #sci #edu for #learning progressions to work. #ngsschat
5/10/12 20:27,FredEnde,@arosey @ampercival It's tough.  #ELA and #math are a hyper-focus at #elem level. #ngsschat
5/10/12 20:27,ampercival,@fredende Interesting... hadn't heard that. Do you mean bridge disciplines w/in science? #NGSSchat
5/10/12 20:27,JenArnswald,Have to had a chance to look at the 8+1 model from MSU- totally reorganizes the way science is taught #ngsschat
5/10/12 20:28,ampercival,@fredende Getting science a major role in K-5 may be the biggest barrier to the success of #NGSS in my opinion. #NGSSchat
5/10/12 20:29,FredEnde,"@ampercival Within and from content area to content area.  Supposed to help address challenges of relevancy and ""connectedness"" #ngsschat"
5/10/12 20:29,FredEnde,"@JenArnswald No.  How does it ""work?"" #ngsschat"
5/10/12 20:29,ampercival,"@jenarnswald No... do you like how they are arranging things? I thought the timing was odd, coming out @ same time as #NGSS #NGSSchat"
5/10/12 20:31,ampercival,"@fredende OK- I can see that... for example, cause and effect in ELA, patterns, scale in Math. Interesting! #NGSSchat"
5/10/12 20:31,FredEnde,"I think Cross-Cutting Concepts have the potential to allow #teachers to do some truly ""interdisciplinary"" work.  #ngsschat"
5/10/12 20:32,arosey,"@FredEnde @ampercival Crosscut will support CommonCore, lets ELA/Math support us. Hope to use crosscutters to frame school wide PD #ngsschat"
5/10/12 20:32,FredEnde,For instance. . .patterns.  #Sci. #teacher explores pred/prey in class and work w/SS #teacher to explore pop. density. #ngsschat
5/10/12 20:32,JenArnswald,They researched the 8 major themes from science- very similar to the crosscutting con. Pruitt says the two will go hand in hand  #ngsschat
5/10/12 20:32,JenArnswald,They researched the 8 major themes from science- very similar to the crosscutting con. Pruitt says the two will go hand in hand  #ngsschat
5/10/12 20:34,FredEnde,@arosey That's one place where #NGSS can strengthen #science #instruction at #elementary level!  Have you started planning PD yet? #ngsschat
5/10/12 20:34,FredEnde,@arosey That's one place where #NGSS can strengthen #science #instruction at #elementary level!  Have you started planning PD yet? #ngsschat
5/10/12 20:34,ampercival,"CCC #5 seems a bit odd in this light- that is one that seems very narrowly ""science focused"" #NGSSchat"
5/10/12 20:35,ampercival,"RT @fredende: I think Cross-Cutting Concepts have the potential to allow #teachers to do some truly ""interdisciplinary"" work.  #ngsschat"
5/10/12 20:35,FredEnde,"@ampercival Agree.  #Flows and #cycles have connections elsewhere, but the #energy and #matter seems to confine its use. #ngsschat"
5/10/12 20:36,FredEnde,Love #structure and #function and #stability and #change.  Can envision lots of #connections there.  #ngsschat
5/10/12 20:37,FredEnde,What about using the CCC's to connect diff. #science #disciplines?  Examples? #ngsschat
5/10/12 20:38,ampercival,"I've actually thought a lot about different thematic units, each built around a CCC- could be really interesting #NGSSchat"
5/10/12 20:39,FredEnde,Great!  Let's jump over to the Disciplinary Core Ideas (DCI). . . . #ngsschat
5/10/12 20:39,ampercival,"So ex: systems- cells, organs, organ systems, states of matter- open/closed systems, solar system, earth system #NGSSchat"
5/10/12 20:40,ampercival,"Not sure how well it'd work in practice, but interesting idea to play with. #NGSSchat"
